#LAMOST resolution curve power R=lambda/FWHM
#The curve abruptly change at lambda = 5850AA
#--------------------------------------------
#     wave          R
#--------------------------------------------  
      4552.30      1439.94
      4553.35      1440.58
      4554.40      1441.21
      4555.45      1441.85
      4556.50      1442.49
      4557.55      1443.12
      4558.60      1443.76
      4559.65      1444.39
      4560.70      1445.03
      4561.75      1445.67
      4562.80      1446.30
      4563.85      1446.93
      4564.90      1447.57
      4565.95      1448.20
      4567.00      1448.84
      4568.06      1449.47
      4569.11      1450.11
      4570.16      1450.74
      4571.21      1451.37
      4572.27      1452.01
      4573.32      1452.64
      4574.37      1453.27
      4575.42      1453.90
      4576.48      1454.53
      4577.53      1455.17
      4578.59      1455.80
      4579.64      1456.43
      4580.69      1457.06
      4581.75      1457.69
      4582.81      1458.32
      4583.86      1458.95
      4584.92      1459.58
      4585.97      1460.21
      4587.03      1460.84
      4588.08      1461.47
      4589.14      1462.09
      4590.20      1462.72
      4591.25      1463.35
      4592.31      1463.98
      4593.37      1464.61
      4594.43      1465.23
      4595.48      1465.86
      4596.54      1466.49
      4597.60      1467.11
      4598.66      1467.74
      4599.72      1468.36
      4600.78      1468.99
      4601.84      1469.62
      4602.90      1470.24
      4603.96      1470.86
      4605.02      1471.49
      4606.08      1472.11
      4607.14      1472.74
      4608.20      1473.36
      4609.26      1473.98
      4610.32      1474.60
      4611.38      1475.22
      4612.45      1475.85
      4613.51      1476.47
      4614.57      1477.09
      4615.63      1477.71
      4616.70      1478.33
      4617.76      1478.95
      4618.82      1479.57
      4619.89      1480.19
      4620.95      1480.81
      4622.02      1481.43
      4623.08      1482.05
      4624.15      1482.67
      4625.21      1483.29
      4626.27      1483.90
      4627.34      1484.52
      4628.40      1485.14
      4629.47      1485.76
      4630.54      1486.37
      4631.60      1486.99
      4632.67      1487.60
      4633.74      1488.22
      4634.80      1488.83
      4635.87      1489.45
      4636.94      1490.06
      4638.01      1490.68
      4639.08      1491.29
      4640.14      1491.90
      4641.21      1492.52
      4642.28      1493.13
      4643.35      1493.74
      4644.42      1494.35
      4645.49      1494.97
      4646.56      1495.58
      4647.63      1496.19
      4648.70      1496.80
      4649.77      1497.41
      4650.84      1498.02
      4651.91      1498.63
      4652.98      1499.24
      4654.05      1499.85
      4655.12      1500.45
      4656.20      1501.06
      4657.27      1501.67
      4658.34      1502.28
      4659.42      1502.88
      4660.49      1503.49
      4661.56      1504.10
      4662.63      1504.70
      4663.71      1505.31
      4664.78      1505.91
      4665.85      1506.51
      4666.93      1507.12
      4668.00      1507.72
      4669.08      1508.33
